source,fundName,vintage,committedM,calledM,distributedM,navM,irr,asOf,sourceUrl
CalSTRS,"Apax Europe VI - A, L.P.",2005,293.5,309.9,617.8,11.0,12.68,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,Apax Europe VII,2007,446.1,518.5,656.9,2.0,4.35,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,Apax IX USD L.P.,2017,300.0,325.2,435.5,185.3,17.83,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,Apax X USD L.P.,2020,250.0,249.5,43.2,282.7,9.88,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,Apax XI USD L.P.,2024,150.0,34.2,,39.7,23.83,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,Apollo Hybrid Value Fund II LP,2021,250.0,240.0,49.1,244.2,11.25,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,"Apollo Investment Fund IX, L.P.",2019,300.0,300.6,172.1,281.8,15.41,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,"Apollo Investment Fund VI, L.P.",2006,250.0,239.5,399.3,4.3,8.57,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,"Apollo Investment Fund VII, L.P.",2008,350.0,302.1,622.0,,22.53,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,Apollo Investment Fund X L.P.,2023,300.0,136.1,27.4,134.5,19.14,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,"Ares Corporate Opportunities Fund IV, L.P.",2012,150.0,138.5,253.2,21.3,13.96,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,"Ares Corporate Opportunities Fund V, L.P.",2017,300.0,335.2,174.8,260.7,5.97,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,"Ares Corporate Opportunities VI, L.P.",2020,200.0,223.9,77.3,240.7,15.58,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,Ares Special Opportunities Fund II,2022,100.0,84.4,,106.6,13.41,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
CalSTRS,"Ares Special Opportunities Fund, L.P.",2020,50.0,49.3,47.9,28.0,14.65,2025-06-30,https://www.calstrs.com/files/6765c6592/CalSTRSPrivateEquityPerformanceReportFYE2025.pdf
